label,notes
minor-ninth,"[28, 35, 43, 45, 47, 50, 54, 57]"
dominant,"[16, 23, 32, 41, 44, 50]"
minor-seventh,"[28, 35, 43, 43, 47, 52]"
dominant,"[28, 38, 44, 46, 50]"
dominant-11th,"[28, 38, 45, 47, 50]"
major-sixth,"[16, 37, 42, 47]"
suspended-fourth,"[16, 28, 38, 40, 42, 45]"
major-ninth,"[16, 28, 44, 51, 54]"
suspended-fourth,"[16, 28, 38, 42, 47]"
major-seventh,"[28, 35, 44, 47, 51, 54]"
suspended-fourth,"[16, 26, 33, 38, 42]"
dominant,"[28, 38, 48, 50, 53]"
major-ninth,"[28, 39, 46, 51, 54]"
dominant-13th,"[28, 38, 44, 46, 49, 52]"
dominant,"[16, 26, 37, 38, 42, 45, 49]"
minor-seventh,"[16, 26, 40, 43, 46]"
dominant,"[28, 38, 48, 50, 53]"
suspended-fourth,"[28, 42, 45, 47]"
dominant-ninth,"[28, 38, 42, 45, 47]"
minor-seventh,"[28, 46, 50, 55]"
minor-seventh,"[28, 38, 43, 47, 50, 59]"
minor-seventh,"[28, 38, 43]"
major-seventh,"[28, 39, 44, 47, 51]"
minor-seventh,"[28, 47, 50, 59]"
major-seventh,"[16, 27, 47, 51]"
suspended-fourth,"[16, 26, 50, 53]"
minor-seventh,"[16, 45, 50, 54, 57]"
minor-seventh,"[28, 38, 46, 50, 55]"
dominant,"[28, 38, 44, 48, 55]"
suspended-fourth,"[28, 47, 50, 52, 57]"
major-seventh,"[28, 47, 51, 54]"
suspended-fourth,"[28, 38, 40, 42, 45]"
suspended-fourth,"[16, 26, 33, 38, 42]"
dominant,"[28, 38, 48, 50, 53]"
major-ninth,"[28, 39, 46, 51, 54]"
dominant-13th,"[28, 38, 44, 46, 49, 52]"
suspended-fourth,"[16, 37, 38, 42, 45, 49]"
dominant,"[28, 38, 45, 52, 56, 59]"
major-seventh,"[16, 47, 51, 56]"
major-seventh,"[23, 32, 44, 52]"
major-seventh,"[28, 39, 44, 47, 51]"
suspended-fourth,"[28, 32, 34, 38]"
dominant,"[28, 38, 44, 47]"
major-seventh,"[16, 28, 44]"
suspended-fourth,"[28, 38, 40, 42, 45]"
dominant,"[26, 35, 38, 40, 44, 47, 47]"
dominant-ninth,"[28, 38, 46, 49, 54]"
dominant,"[28, 38, 50, 54, 58]"
