type,extensions,note_numbers
minor-ninth,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[23, 30, 38, 40, 42, 45, 49, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[16, 23, 32, 41, 44, 50]"
minor-seventh,[],"[21, 28, 36, 36, 40, 45]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 36, 42, 44, 48]"
dominant-11th,[],"[24, 34, 41, 43, 46]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[17, 38, 43, 48]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[15, 27, 37, 39, 41, 44]"
major-ninth,[],"[8, 20, 36, 43, 46]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[12, 24, 34, 38, 43]"
major-seventh,[],"[22, 29, 38, 41, 45, 48]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[19, 29, 36, 41, 45]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 31, 41, 43, 46]"
major-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[22, 33, 40, 45, 48]"
dominant-13th,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[26, 36, 42, 44, 47, 50]"
dominant,[],"[19, 29, 40, 41, 45, 48, 52]"
minor-seventh,[],"[19, 29, 43, 46, 49]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 31, 41, 43, 46]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[26, 40, 43, 45]"
dominant-ninth,[],"[24, 34, 38, 41, 43]"
minor-seventh,[],"[23, 41, 45, 50]"
minor-seventh,[],"[21, 31, 36, 40, 43, 52]"
minor-seventh,[],"[30, 40, 45]"
major-seventh,[],"[22, 33, 38, 41, 45]"
minor-seventh,[],"[21, 40, 43, 52]"
major-seventh,[],"[17, 28, 48, 52]"
suspended-fourth,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '7', 'alter': '0', 'type': 'add'}]","[16, 26, 50, 53]"
minor-seventh,[],"[14, 43, 48, 52, 55]"
minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[23, 33, 41, 45, 50]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[25, 35, 41, 45, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","[24, 43, 46, 48, 53]"
major-seventh,[],"[22, 41, 45, 48]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[26, 36, 38, 40, 43]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[19, 29, 36, 41, 45]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 31, 41, 43, 46]"
major-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[22, 33, 40, 45, 48]"
dominant-13th,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[26, 36, 42, 44, 47, 50]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[19, 40, 41, 45, 48, 52]"
dominant,[],"[24, 34, 41, 48, 52, 55]"
major-seventh,[],"[18, 49, 53, 58]"
major-seventh,[],"[30, 39, 51, 59]"
major-seventh,[],"[28, 39, 44, 47, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[34, 38, 40, 44]"
dominant,[],"[27, 37, 43, 46]"
major-seventh,[],"[8, 20, 36]"
suspended-fourth,[],"[31, 41, 43, 45, 48]"
dominant,[],"[29, 38, 41, 43, 47, 50, 50]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[27, 37, 45, 48, 53]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[25, 35, 47, 51, 55]"
major,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[24, 33, 36, 41, 45]"
dominant-ninth,[],"[24, 34, 38, 43, 46]"
major-seventh,[],"[5, 17, 33, 36, 45]"
major-seventh,[],"[26, 37, 38, 40]"
major-seventh,[],"[37, 38, 38, 42]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[28, 35, 38, 43]"
major-seventh,[],"[14, 37, 40]"
minor-seventh,[],"[22, 43, 48, 50]"
