root,type,extensions,notes,note_numbers
G,minor-ninth,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['G2', 'D3', 'Bb3', 'C4', 'D4', 'F4', 'A4', 'C5']","[23, 30, 38, 40, 42, 45, 49, 52]"
C,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['C2', 'G2', 'E3', 'Db4', 'E4', 'Bb4']","[16, 23, 32, 41, 44, 50]"
F,minor-seventh,[],"['F2', 'C3', 'Ab3', 'Ab3', 'C4', 'F4']","[21, 28, 36, 36, 40, 45]"
Bb,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb2', 'Ab3', 'D4', 'E4', 'Ab4']","[26, 36, 42, 44, 48]"
Ab,dominant-11th,[],"['Ab2', 'Gb3', 'Db4', 'Eb4', 'Gb4']","[24, 34, 41, 43, 46]"
Db,major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['Db2', 'Bb3', 'Eb4', 'Ab4']","[17, 38, 43, 48]"
B,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['B1', 'B2', 'A3', 'B3', 'Db4', 'E4']","[15, 27, 37, 39, 41, 44]"
E,major-ninth,[],"['E1', 'E2', 'Ab3', 'Eb4', 'Gb4']","[8, 20, 36, 43, 46]"
Ab,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Ab1', 'Ab2', 'Gb3', 'Bb3', 'Eb4']","[12, 24, 34, 38, 43]"
Gb,major-seventh,[],"['Gb2', 'Db3', 'Bb3', 'Db4', 'F4', 'Ab4']","[22, 29, 38, 41, 45, 48]"
Eb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Eb2', 'Db3', 'Ab3', 'Db4', 'F4']","[19, 29, 36, 41, 45]"
F,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb3', 'Db4', 'Eb4', 'Gb4']","[21, 31, 41, 43, 46]"
Gb,major-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['Gb2', 'F3', 'C4', 'F4', 'Ab4']","[22, 33, 40, 45, 48]"
Bb,dominant-13th,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['Bb2', 'Ab3', 'D4', 'E4', 'G4', 'Bb4']","[26, 36, 42, 44, 47, 50]"
Eb,dominant,[],"['Eb2', 'Db3', 'C4', 'Db4', 'F4', 'Ab4', 'C5']","[19, 29, 40, 41, 45, 48, 52]"
Eb,minor-seventh,[],"['Eb2', 'Db3', 'Eb4', 'Gb4', 'A4']","[19, 29, 43, 46, 49]"
F,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb3', 'Db4', 'Eb4', 'Gb4']","[21, 31, 41, 43, 46]"
Bb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Bb2', 'C4', 'Eb4', 'F4']","[26, 40, 43, 45]"
Ab,dominant-ninth,[],"['Ab2', 'Gb3', 'Bb3', 'Db4', 'Eb4']","[24, 34, 38, 41, 43]"
G,minor-seventh,[],"['G2', 'Db4', 'F4', 'Bb4']","[23, 41, 45, 50]"
F,minor-seventh,[],"['F2', 'Eb3', 'Ab3', 'C4', 'Eb4', 'C5']","[21, 31, 36, 40, 43, 52]"
D,minor-seventh,[],"['D3', 'C4', 'F4']","[30, 40, 45]"
Gb,major-seventh,[],"['Gb2', 'F3', 'Bb3', 'Db4', 'F4']","[22, 33, 38, 41, 45]"
F,minor-seventh,[],"['F2', 'C4', 'Eb4', 'C5']","[21, 40, 43, 52]"
Db,major-seventh,[],"['Db2', 'C3', 'Ab4', 'C5']","[17, 28, 48, 52]"
C,suspended-fourth,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '7', 'alter': '0', 'type': 'add'}]","['C2', 'Bb2', 'Bb4', 'Db5']","[16, 26, 50, 53]"
Bb,minor-seventh,[],"['Bb1', 'Eb4', 'Ab4', 'C5', 'Eb5']","[14, 43, 48, 52, 55]"
G,minor-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['G2', 'F3', 'Db4', 'F4', 'Bb4']","[23, 33, 41, 45, 50]"
A,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['A2', 'G3', 'Db4', 'F4', 'C5']","[25, 35, 41, 45, 52]"
Ab,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}]","['Ab2', 'Eb4', 'Gb4', 'Ab4', 'Db5']","[24, 43, 46, 48, 53]"
Gb,major-seventh,[],"['Gb2', 'Db4', 'F4', 'Ab4']","[22, 41, 45, 48]"
Bb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['Bb2', 'Ab3', 'Bb3', 'C4', 'Eb4']","[26, 36, 38, 40, 43]"
