label,notes
minor-ninth,2835434547505457
dominant,162332414450
minor-seventh,283543434752
dominant,2838444650
dominant-11th,2838454750
major-sixth,16374247
suspended-fourth,162838404245
major-ninth,1628445154
suspended-fourth,1628384247
major-seventh,283544475154
suspended-fourth,1626333842
dominant,2838485053
major-ninth,2839465154
dominant-13th,283844464952
dominant,16263738424549
minor-seventh,1626404346
dominant,2838485053
suspended-fourth,28424547
dominant-ninth,2838424547
minor-seventh,28465055
minor-seventh,283843475059
minor-seventh,283843
major-seventh,2839444751
minor-seventh,28475059
major-seventh,16274751
suspended-fourth,16265053
minor-seventh,1645505457
minor-seventh,2838465055
dominant,2838444855
suspended-fourth,2847505257
major-seventh,28475154
suspended-fourth,2838404245
suspended-fourth,1626333842
dominant,2838485053
major-ninth,2839465154
dominant-13th,283844464952
suspended-fourth,163738424549
dominant,283845525659
major-seventh,16475156
major-seventh,23324452
major-seventh,2839444751
suspended-fourth,28323438
dominant,28384447
major-seventh,162844
suspended-fourth,2838404245
dominant,26353840444747
dominant-ninth,2838464954
dominant,2838505458
major,2837404549
dominant-ninth,2838424750
major-seventh,1628444756
major-seventh,28394042
major-seventh,27282832
suspended-fourth,23303338
major-seventh,163942
minor-seventh,22434850
dominant,28505659
major,40444752
major,28374756
major,355664
dominant,273236
dominant-ninth,26323742
minor-seventh,28404345
dominant,40535660
dominant,293235
major-minor,28424349
dominant,16373844
dominant,34384247
minor-seventh,2838434755
dominant-ninth,2838424449
dominant,293235
major-seventh,28475156
major,324752
minor-seventh,284347
major,324752
diminished,284346
minor-seventh,284350
dominant-ninth,28373842
dominant-ninth,2840424550
suspended-fourth,2838424552
dominant-ninth,28384246
major-ninth,28444754
major-seventh,27343843
minor-seventh,38434752
minor-seventh,33414550
major-ninth,28464854
minor-seventh,31333847
minor-seventh,22434850
dominant,28505659
half-diminished,26465055
minor-ninth,30384447
major,25354044
minor-ninth,28333842
dominant-ninth,28384246
dominant,2838404449
major-seventh,16353942
minor-seventh,163843
major,204247
dominant,274449
dominant-ninth,404447
minor-seventh,28384348
minor-seventh,28384550
dominant-13th,374654
major-seventh,374247
minor-seventh,354048
minor-seventh,2837475255
minor-13th,2531334754
minor-seventh,23333843
minor-ninth,2835475455
minor-seventh,233143475050
suspended-fourth,28424547
dominant,2635353840
major-seventh,2844475154
major,2630333537404244
