label,notes
minor-ninth,0000000000000000000000000001000000100000001010100100010010000000000000000000000000000000
dominant,0000000000000001000000100000000100000000100100000100000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000100000001000100001000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000101000100000000000000000000000000000000000000
dominant-11th,0000000000000000000000000001000000000100000010100100000000000000000000000000000000000000
major-sixth,0000000000000001000000000000000000001000010000100000000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000001000000000101010010000000000000000000000000000000000000000000
major-ninth,0000000000000001000000000001000000000000000100000010010000000000000000000000000000000000
suspended-fourth,0000000000000001000000000001000000000100010000100000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000100000000100100010010000000000000000000000000000000000
suspended-fourth,0000000000000001000000000100000010000100010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000000010100100000000000000000000000000000000000
major-ninth,0000000000000000000000000001000000000010000001000010010000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100000101001001000000000000000000000000000000000000
dominant,0000000000000001000000000100000000001100010010001000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000100000000000001001001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000000010100100000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000010010100000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010010100000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000000001000100001000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000100100000000100000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000010000100100010000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000000000100100000000100000000000000000000000000000
major-seventh,0000000000000001000000000010000000000000000000100010000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000100000000000000000000000100100000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000000000000010000100010010000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100000001000100001000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100010000001000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000000000100101000010000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000000000000100010010000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000101010010000000000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000100000010000100010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000000010100100000000000000000000000000000000000
major-ninth,0000000000000000000000000001000000000010000001000010010000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100000101001001000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000000000000001100010010001000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000010000001000100100000000000000000000000000000
major-seventh,0000000000000001000000000000000000000000000000100010000100000000000000000000000000000000
major-seventh,0000000000000000000000100000000100000000000100000001000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000010000100100010000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000101000100000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100100000000000000000000000000000000000000000
major-seventh,0000000000000001000000000001000000000000000100000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000101010010000000000000000000000000000000000000000000
dominant,0000000000000000000000000100000000100101000100100000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100000001001000010000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000000000100010001000000000000000000000000000000
major,0000000000000000000000000001000000001001000010001000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010000100100000000000000000000000000000000000000
major-seventh,0000000000000001000000000001000000000000000100100000000100000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000011010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000011000100000000000000000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000100000010010000100000000000000000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000000000010010000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000001000000000000000000001000010100000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000000000000100000100100000000000000000000000000000
major,0000000000000000000000000000000000000001000100100001000000000000000000000000000000000000
major,0000000000000000000000000001000000001000000000100000000100000000000000000000000000000000
major,0000000000000000000000000000000000100000000000000000000100000001000000000000000000000000
dominant,0000000000000000000000000010000100010000000000000000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000100000100001000010000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000001001010000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000000001000000000000100100010000000000000000000000000000
dominant,0000000000000000000000000000100100100000000000000000000000000000000000000000000000000000
major-minor,0000000000000000000000000001000000000000011000001000000000000000000000000000000000000000
dominant,0000000000000001000000000000000000001100000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000001000100010000100000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000100000001000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010100001000000000000000000000000000000000000000
dominant,0000000000000000000000000000100100100000000000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000000000000100010000100000000000000000000000000000000
major,0000000000000000000000000000000100000000000000100001000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000001000100000000000000000000000000000000000000000
major,0000000000000000000000000000000100000000000000100001000000000000000000000000000000000000
diminished,0000000000000000000000000001000000000000001001000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000001000000100000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000001100010000000000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000001010010000100000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000100010010000001000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010001000000000000000000000000000000000000000000
major-ninth,0000000000000000000000000001000000000000000100100000010000000000000000000000000000000000
major-seventh,0000000000000000000000000010000001000100001000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000000000100001000100001000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000010000000100010000100000000000000000000000000000000000000
major-ninth,0000000000000000000000000001000000000000000001010000010000000000000000000000000000000000
minor-seventh,0000000000000000000000000000001010000100000000100000000000000000000000000000000000000000
minor-seventh,0000000000000000000001000000000000000000001000010100000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000000000000100000100100000000000000000000000000000
half-diminished,0000000000000000000000000100000000000000000001000100001000000000000000000000000000000000
minor-ninth,0000000000000000000000000000010000000100000100100000000000000000000000000000000000000000
major,0000000000000000000000001000000000100001000100000000000000000000000000000000000000000000
minor-ninth,0000000000000000000000000001000010000100010000000000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000101000100001000000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000000100010010000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000000100001000000000000000000000000000000000000000000000
major,0000000000000000000100000000000000000000010000100000000000000000000000000000000000000000
dominant,0000000000000000000000000010000000000000000100001000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000000000000000001000100100000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000010000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100000010000100000000000000000000000000000000000000
dominant-13th,0000000000000000000000000000000000001000000001000000010000000000000000000000000000000000
major-seventh,0000000000000000000000000000000000001000010000100000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000000100001000000010000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000001000000000100001001000000000000000000000000000000000
minor-13th,0000000000000000000000001000001010000000000000100000010000000000000000000000000000000000
minor-seventh,0000000000000000000000100000000010000100001000000000000000000000000000000000000000000000
minor-ninth,0000000000000000000000000001000000100000000000100000011000000000000000000000000000000000
minor-seventh,0000000000000000000000100000001000000000001000100100000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000010010100000000000000000000000000000000000000000
dominant,0000000000000000000000000100000000100101000000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000000000100100010010000000000000000000000000000000000
major,0000000000000000000000000100010010101001010100000000000000000000000000000000000000000000
dominant-13th,0000000000000001000000000100000000000100010000100000000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000000000001000100001000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000100000000001100010000000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000100001000100000000000000000000000000000000000000
dominant,0000000000000000000000000000000100000000010000100100000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000000000000100100010000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000010000100100010000000000000000000000000000000000000
diminished,0000000000000000000000000000100100100000000000000000000000000000000000000000000000000000
major,0000000000000000000001000000000000100001000100000000000000000000000000000000000000000000
major,0000000000000000000000100000000000000000000000100001000100000000000000000000000000000000
major,0000000000000000000000001000000000100001000100000000000000000000000000000000000000000000
major,0000000000000000000001000000000000100001000100000000000000000000000000000000000000000000
major,0000000000000000000000100000000000100001000100000000000000000000000000000000000000000000
major,0000000000000000000000000010000000100001000100000000000000000000000000000000000000000000
major,0000000000000000000000000000010000000001000100100000000000000000000000000000000000000000
major-seventh,0000000000000001000000100000000000100010000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100000100000100100000000000000000000000000000000000000000
major,0000000000000000000100001000010000100000000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
major,0000000000000000000000000010000100001000010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000010000100001000100000000000000000000000000000000000000000000000
major,0000000000000000000000001000010000100001000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000010000010000100010000000000000000000000000000000000000
dominant,0000000000000000000000000000100000100001000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
dominant,0000000000000000000000000000000000000100001000010000100000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
major,0000000000000000000000000000000100001000010000100000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100000100010000100000000000000000000000000000000000000000
major,0000000000000000000000000000010000100001000000100000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000000010010000001000100000000000000000000000000000000000
major,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
dominant,0000000000000000000000000000100000100001000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
dominant,0000000000000000000000000000000000001000010000100001000000000000000000000000000000000000
major-seventh,0000000000000000000000000010000001001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000010000001001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000010001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000010001000010000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001010000100100000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000001001000010000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000100000010010001000000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000010001000010000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000100000010010000100000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000100001000010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000101101000000000000000000000000000000000000000000000000
major,0000000000000000000000000001000110100000000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000101101000000000000000000000000000000000000000000000000
major,0000000000000000000000000000000000001011010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000101101000000000000000000000000000000000000000000000000
major,0000000000000000000000000000000000101011000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000010010110000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000101101000000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000000010110100000000000000000000000000000000000000000000000
minor-sixth,0000000000000000000000000001000000001000001000100000010000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100000100001000010000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100000010000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100010000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100100000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000000100100000100000000000000000000000000000000000
half-diminished,0000000000000000000000000000001000000000100001000100000000000000000000000000000000000000
dominant,0000000000000000000000000100000000000000000000010000100010000000000000000000000000000000
dominant,0000000000000000000000000000000000100100010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100100100010000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100100100100000000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000100100000100000000000000000000000000000000000000
minor-sixth,0000000000000000000000000001000000000101001000101000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000100100000100000000000000000000000000000000000000
major-minor,0000000000000000000000000000001000101001001000100010010000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000010000000000000000000000000000000
augmented-seventh,0000000000000000000000000001000000000100000100010000001000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000010000000000000000000000000000000
augmented-seventh,0000000000000000000000000001000000000100000100010000001000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000010000000000000000000000000000000
augmented-seventh,0000000000000000000000000001000000000100000100010000001000000000000000000000000000000000
half-diminished,0000000000000000000000000010000000001000010010000000000000000000000000000000000000000000
major-minor,0000000000000001000000100000001000000010000010000000000000000000000000000000000000000000
major-minor,0000000000000001000000000000001000000010000010000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000010000000000010000000100001000000000000000000000000000000000000
half-diminished,0000000000000000000000000000000000000100001001000100000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100100100000100000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000001000101000001000000000000000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100010100001000000100000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant-13th,0000000000000001000000000100000100001000000100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant-13th,0000000000000001000000000100000100001000000100000000000000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100000100001000000100000000000000000000000000000000
minor-seventh,0000000000000001000000000000001000001000010000100000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100000000000000000000000000000000000000000000
half-diminished,0000000000000001000000000000001000000100000001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000100000100100001000001000000000000000000000000000000000000
minor-ninth,0000000000000000000000000010000000000010000000100001000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001000000000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100100001000100000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000000100100001000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000110000000000000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100000100001000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001001000000000000000000000000000000000000000000
dominant,0000000000000000000000000000010101000000000000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000011000001001000000000000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010101000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000000100001000101000000000000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010001100000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100000000000000000000000000000000000000000000
major,0000000000000000000000000100000100010000100001000101000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000100100001000000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100000001000000000000000000000000000000000000
minor-seventh,0000000000000001000000000100001000100100001000000000000000000000000000000000000000000000
minor-11th,0000000000000001000000000000001000100100010010000000000000000000000000000000000000000000
minor-11th,0000000000000001000000000000001000100100010010000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100101001000000000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100101001000000000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100001001000000000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100010100001001000000000000000000000000000000000000
minor-11th,0000000000000000000000000001000000000100001000100100010010000000000000000000000000000000
dominant,0000000000000000000000000000100001000101000000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000010000000000010000000100000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001000000000000000000000000000000000000000000000
half-diminished,0000000000000000000000000001000000000100001001000100000010000000000000000000000000000000
dominant,0000000000000000000000000001000000000100100001000100000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000000100100001000000000000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000110000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant,0000000000000000000000000000000100001000000100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000000100000000000000000000000000000000000000
dominant,0000000000000001000000000100000100001000000100000000000000000000000000000000000000000000
dominant-13th,0000000000000000000000000000000100000100000110000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000010000100001000000100000000000000000000000000000000
half-diminished,0000000000000000000000000001000001000100001001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000100000100010001000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100100000100000000000000000000000000000000000000000
minor-seventh,0000000000000001000000100000011000001001000000000000000000000000000000000000000000000000
major-minor,0000000000000000000000000001000000001000001000000000010000000010000000000000000000000000
major-seventh,0000000000000001000000000000000000100010000100000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000001000100100010000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000000000100100000010000000000000000000000000000000000
major-sixth,0000000000000001000000000001000100001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000100001010000000000000000000000000000000000000000000000
major-sixth,0000000000000001000000000000000100001000010000000000000000000000000000000000000000000000
major,0000000000000000000000000001000100100010000000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000100000000000000000000001001010010000000000000000000000000000000
minor-seventh,0000000000000000000000010000000000000000001000100100001000000000000000000000000000000000
minor-seventh,0000000000000000000010000000000000000000000000100100010000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000100000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100101001000000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000100000000100100010010000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100000100010000010000000000000000000000000000000000
dominant-ninth,0000000000000000000000000000000000000011000100100000000000000000000000000000000000000000
dominant,0000000000000001000000000100000100010001000000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000100000000000000000000000000000000000000000
minor-ninth,0000000000000000000000000001000000000100011000100100000000000000000000000000000000000000
minor-ninth,0000000000000001000000000100000000100100001000000000000000000000000000000000000000000000
minor-ninth,0000000000000001000000000100000000100100001000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000000000000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000000100010000100000000000000000000000000000000000000000000
dominant,0000000000000001000000000100000000000001000100010001000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000011000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000100000000000000000000000000000000000000000
minor-ninth,0000000000000000000000000001000000000100011000100100000000000000000000000000000000000000
dominant-ninth,0000000000000001000000000000000000000100010100100000000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000000000000100100010010000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000100000000000000010010000100000000000000000000000000
major-seventh,0000000000000000000000000000010000000000000000000001000100001000000000000000000000000000
major-seventh,0000000000000000000000000000010000000000000000000001000100001000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000100000000000000000000000000000000000000000
minor-ninth,0000000000000000000000000001000000000100011000100100000000000000000000000000000000000000
minor-ninth,0000000000000001000000000100000000100100001000000000000000000000000000000000000000000000
minor-ninth,0000000000000001000000000100000000100100001000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000000000010000000001000000000000000000100000000000000000000000000
major-seventh,0000000000000001000000000000000000100010000100000000000000000000000000000000000000000000
dominant,0000000000000001000000000100000000000001000100010001000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000011000000000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000000000000000100100001000000000000000000000000000000000
dominant-ninth,0000000000000001000000000000000000000100010100100000000000000000000000000000000000000000
suspended-fourth,0000000000000001000000000000000000100100010010000000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000100000000000000010010000100000000000000000000000000
major-seventh,0000000000000000000000000000010000000000000000000001000100001000000000000000000000000000
major-seventh,0000000000000001000000000000000000100010000100000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000001000100100010000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000100001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000001000100100010000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000000100010000100000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000001000100100010000000000000000000000000000000000000
major-seventh,0000000000000001000000000000000100001000010000000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000000010000000001000100100010000000000000000000000000000000000000
minor,0000000000000000000000000001000000100000001000000000001000000000000000000000000000000000
major,0000000000000000000000000001000000000000000000000000000000100001000000000000000000000000
major,0000000000000000000000100000000000000000000100000001000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000100000000010000100010000000000000000000000000000000000
major,0000000000000001000000000000000000000000000100100000000000000000000000000000000000000000
major,0000000000000000000000000000000100000000000000000000000100100001000000000000000000000000
major-seventh,0000000000000000000000000001000000000000000000000000100000001000000000000000000000000000
major,0000000000000000000100000000000000000001000100100001000000000000000000000000000000000000
major,0000000000000000000000000001000000000000000100000010000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000000001000000001000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000000100100000000000000000000000000000000000000000
major-seventh,0000000000000000000000100000000000000000000100100000000000000000000000000000000000000000
suspended-fourth,0000000000000000000000000001000000000000000000000100010000000000000000000000000000000000
major,0000000000000000000000000001000000000000000100100000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000010000100001000000000000000000000000000000000000000
dominant-ninth,0000000000000000000000000001000000000100010100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001010000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000100000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001010000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000100000101000000000000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000000000000100100000000000000000000000000000000000000000
minor-seventh,0000000000000001000000000000000000100100001000000000000000000000000000000000000000000000
dominant-13th,0000000000000000000000000001000000000100010000001000010000000000000000000000000000000000
major-seventh,0000000000000000000000000001000000100010000100000000000000000000000000000000000000000000
dominant,0000000000000000000000000001000000000000010001000000000000000000000000000000000000000000
minor-seventh,0000000000000000000000000001000000000100001000010000000000000000000000000000000000000000
